Name of the restaurant,Address ,Cooking-waste,storage waste,customer leftovers,weekly wastage,management frequency,additional steps,cooks training-frequency,last-minute adjustments,Rating
Kadai fam restaurant,Yelahanka,Occasionally,Occasionally,Frequently,Never,Always,Nothing,Always,Always,5
ThindI mane,New town,Rarely,never,Rarely,Never,Rarely,Nothing,Always,Never,4
Onesta,"Yelahanka, new town",Rarely,Occasionally,Always,A reasonable amount,Rarely,Nothing,Never,Frequently,3
Pizza hut,Yelahanka new town,Occasionally,Occasionally,Always,A reasonable amount,Rarely,Nothing,Frequently,Never,5
Beijing bites,Yelahanka new town,Rarely,never,Rarely,More than you should,Rarely,I have a compost heap,Occasionally,Never,3
Domino's,Yelahanka new town,Frequently,Occasionally,never,More than you should,Rarely,Nothing,Frequently,Always,3
MZEDAR RESTAURANT,"RAJANUKUNTE, BANGALORE",Frequently,Occasionally,Rarely,A reasonable amount,Frequently,Nothing,Rarely,Occasionally,3
C.K.HOTEL,"Rajanukunte, Bangalore",Rarely,Always,Rarely,A reasonable amount,Occasionally,Nothing,Rarely,Rarely,4
Dildar hotel,"Azad nagar, Banglore road, hindupur, ananthpur dist 515201",Never,never,Occasionally,A reasonable amount,Frequently,Nothing,Always,Never,2
Swathi restraunt ,Yeshwantpur ,Never,never,Rarely,Never,Always,Nothing,Frequently,Frequently,5
Arab taste restaurant,"railway road, hindupur 515201",Never,never,Always,Very little,Always,I give to a community compost,Frequently,Always,5
Naidu's briyani hut,yeshwantpu,Never,never,Rarely,Never,Never,Nothing,Frequently,Occasionally,4
Malgudi donne briyani,Yeshwantpur,Rarely,never,Occasionally,Very little,Frequently,Nothing,Always,Rarely,5
Ootada mane ,Yeshwantpur,Never,never,never,Never,Always,Nothing,Frequently,Always,5
"KFC, Frazer town","mosque road , Banglore 45",Rarely,Occasionally,Occasionally,Very little,Always,I give to a community compost,Always,Always,5
C4 Cake,Pillana garden third stage Bangalore 43,Never,never,Rarely,Never,Always,Nothing,Always,Occasionally,5
5 star chicken,"Pillana garden third stage ,banglore 43",Never,Occasionally,Frequently,Very little,Always,I have chickens,Always,Occasionally,5
Mezban family restaurant,"pkd road , hindupur 515201",Rarely,never,Frequently,More than you should,Always,Nothing,Always,Occasionally,4
Sherlock's lounge and kitchen,Yelahanka,Rarely,Occasionally,Rarely,Very little,Occasionally,I have a compost heap,Frequently,Occasionally,4
Kritanga restaurant,"Hebbal, blore",Rarely,Frequently,Occasionally,A reasonable amount,Occasionally,I give to a community compost,Rarely,Frequently,4
Maa da dhaba,Yelahanka,Occasionally,Occasionally,Rarely,Very little,Never,Nothing,Rarely,Frequently,3
Cafe ranch,Yelahanka,Rarely,Rarely,never,Very little,Always,I have a compost heap,Occasionally,Rarely,5
Purnabrahma,"Yelahanka, NES",Occasionally,Occasionally,Occasionally,More than you should,Rarely,Nothing,Rarely,Occasionally,3
Sangam,Yelahanka,Rarely,Frequently,never,Very little,Rarely,Nothing,Never,Occasionally,4
A2B,Vidyaranyapura,Rarely,Occasionally,never,A reasonable amount,Rarely,I have a worm farm,Rarely,Rarely,3
MaaPaa's kitchen ,"Khargone, MP",Rarely,Rarely,Occasionally,Never,Always,I give to a community compost,Always,Occasionally,5
Gurukripa Bhojnalay,"Khargone, Madhya Pradesh",Never,never,Rarely,Never,Always,Nothing,Occasionally,Rarely,4
Hotel Shakti Avenue and Souras Restaurant," Khargone, Madhya Pradesh ",Rarely,never,Rarely,Never,Frequently,I give to a community compost,Always,Never,5
Nakshtra ,"Khargone, Madhya Pradesh",Never,Occasionally,Rarely,Very little,Frequently,Nothing,Occasionally,Rarely,3
Waqt Hotel,"Khargone, Madhya Pradesh",Occasionally,never,never,Never,Frequently,I have chickens,Always,Never,5
Pizza Corner," Khargone, Madhya Pradesh ",Never,never,Rarely,Very little,Always,Nothing,Always,Occasionally,5
Mandya Ruchi Family Restaurant,Yeshwanthpur,Never,never,Rarely,Never,Never,Nothing,Always,Rarely,5
Annapurna Restaurant,Yeswanthpur,Never,Rarely,Occasionally,Very little,Frequently,Nothing,Frequently,Always,4
Aastha Bengali Mess,Yeshwanthpur,Never,never,Occasionally,Very little,Frequently,Nothing,Occasionally,Frequently,4
HAT MULTICUISINE TAKEAWAY,Yeshwanthpur,Never,never,never,Never,Always,Nothing,Always,Never,5
Priyadarshini Veg,Yeshwanthpur,Rarely,never,Rarely,Never,Frequently,"I give to a community compost, Nothing",Frequently,Occasionally,4
KFC ,Yelahanka,Never,never,never,Never,Always,I have a compost heap,Always,Rarely,5
